NWSID,NOSID,Name,State,ETSS Lon,ETSS Lat,ETSS proximity,ETSS URL,ESTOFS Lon,ETSOFS Lat,ESTOFS proximity,ESTOFS URL,COOPS Lon,COOPS Lat,ETSS HAT-ft,ETSS MHHW-ft,ETSS MSL-ft,ETSS MLLW-ft,Minor MLLW ft,Moderate MLLW ft,Major MLLW ft,MHHW m,MLLW m,MHHW MLLW ft,Minor MHHW ft,Moderate MHHW ft,Major MHHW ft
BZBM3,8447930,Woods-Hole-MA,MA,-70.6716,41.5233,6.00E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447930&datum=MLLW&show=1-1-0-1-1,-70.6717,41.5233,4.16E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8447930.png,-70.6717,41.5233,5.84,4.82,3.6,2.62,6.7,8,10,1.469,0.797,2.21,4.5,5.8,7.8
FRVM3,8447386,Fall-River-MA,MA,-71.1633,41.7033,4.16E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447386&datum=MLLW&show=1-1-0-1-1,-71.1667,41.7067,0.0041515,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8447386.png,-71.1633,41.7033,27.16,25.63,23.06,20.85,7,9.5,12,7.812,6.356,4.78,2.2,4.7,7.2
BHBM3,8443970,Boston-MA,MA,-71.0516,42.355,0.0020435,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8443970&datum=MLLW&show=1-1-0-1-1,-71.0451,42.3583,0.0061546,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8443970.png,-71.05,42.3533,15.95,13.8,8.73,3.52,12.5,15,16,4.205,1.074,10.27,2.2,4.7,5.7
ZZZZZ,8447180,Sandwich-MA,MA,-70.5066,41.7716,8.32E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447180&datum=MLLW&show=1-1-0-1-1,,,,,-70.5067,41.7717,15,10,5.25,0.55, , , , , , , , , 
NBDM3,8447712,New-Bedford-Hurricane-Barrier-MA,MA,-70.9103,41.62,0.027752,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447712&datum=MLLW&show=1-1-0-1-1,,,,,-70.9,41.5933,7,6.45,4.42,2.49, , , , , , , , , 
GLCM3,ZZZZZZ0,Gloucester-MA,MA,-70.6606,42.6103,,,,,,,,, , , , , , , , , , , , , 
SCTM3,ZZZZZZ0,Scituate-MA,MA,-70.72,42.1994,,,,,,,,, , , , , , , , , , , , , 
SESM3,8447241,Sesuit-Harbor-MA,MA,-70.155,41.7517,3.33E-05,,,,,,-70.155,41.7517, ,12.82,7.5,2.36, , , , , , , , , 
PVHM3,8446121,Provincetown-MA,MA,-70.1867,42.05,0.0037376,,,,,,-70.1817,42.05, ,14.1,9,4.02, , , , , , , , , 
HVRM3,8440889,Riverside-Merrimack-MA,MA,-71.0767,42.7633,4.14E-05,,,,,,-71.0767,42.7633, ,9.8,6.48,3.5, , , , , , , , , 
CPTR1,8452944,Conimicut-Light-RI,RI,-71.3433,41.7167,4.16E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8452944&datum=MLLW&show=1-1-0-1-1,-71.3433,41.7167,4.16E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8452944.png,-71.3433,41.7167,24.61,23.12,20.64,18.54,7,9,12,7.048,5.65,4.59,2.4,4.4,7.4
NWPR1,8452660,Newport-RI,RI,-71.3266,41.505,0.0016674,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8452660&datum=MLLW&show=1-1-0-1-1,-71.3267,41.505,0.0016669,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8452660.png,-71.3267,41.5033,7.05,5.74,3.63,1.89,6.6,8,10,1.751,0.577,3.85,2.7,4.2,6.2
QPTR1,8454049,Quonset-Point-RI,RI,-71.41,41.5867,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8454049&datum=MLLW&show=1-1-0-1-1,-71.408,41.5838,0.0032528,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8454049.png,-71.41,41.5867,28.45,27.13,24.89,23.03,7,9,12,8.27,7.021,4.1,2.9,4.9,7.9
FOXR1,8454000,Providence-RI,RI,-71.4016,41.8066,0.0011945,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8454000&datum=MLLW&show=1-1-0-1-1,-71.3984,41.808,0.0017989,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8454000.png,-71.4,41.8067,10.01,8.33,5.75,3.49,7,9,12,2.539,1.064,4.84,2.2,4.2,7.2
ZZZZZ,8459681,Block-Island-RI,RI,-71.6133,41.1583,0.0056131,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8459681&datum=MLLW&show=1-1-0-1-1,,,,,-71.61,41.1633,5.13,4.08,2.29,0.8, , , , , , , , , 
WHLR1,8458694,Watch-Hill-Point-RI,RI,-71.86,41.305,0,,,,,,-71.86,41.305, ,5.46,3.89,2.46, , , , , , , , , 
NLNC3,8461490,New-London-CT,CT,-72.0866,41.355,5.00E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8461490&datum=MLLW&show=1-1-0-1-1,-72.0898,41.3611,0.0065377,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8461490.png,-72.0867,41.355,7.4,6.57,5.06,3.52,5,6,7.8,2.003,1.074,3.05,1.9,2.9,4.7
BRHC3,8467150,Bridgeport-CT,CT,-73.1816,41.1733,0.002143,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8467150&datum=MLLW&show=1-1-0-1-1,-73.1817,41.1733,0.002098,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8467150.png,-73.1833,41.175,10.8,9.3,5.6,1.98,8.9,10.4,11.4,2.835,0.604,7.32,1.6,3.1,4.1
NWHC3,8465705,New-Haven-CT,CT,-72.9083,41.2833,4.17E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8465705&datum=MLLW&show=1-1-0-1-1,-72.9104,41.2834,0.0015929,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8465705.png,-72.9083,41.2833,26.58,25.14,21.75,18.43,8.6,9.2,10.5,7.662,5.618,6.71,1.9,2.5,3.8
STDC3,8469198,Stamford-CT,CT,-73.5347,41.0372,0.0090971,,,,,,-73.5467,41.0383, , , , , , , , , , , , , 
BGNN4,8519483,Bergen-Point-NY,NY,-74.1466,40.64,0.0050125,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8519483&datum=MLLW&show=1-1-0-1-1,-74.1424,40.641,0.0044166,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8519483.png,-74.1417,40.6367,11.19,9.75,7.01,4.24,7.2,8.5,10,2.971,1.291,5.51,1.7,3,4.5
MTKN6,8510560,Montauk-Point-NY,NY,-71.96,41.0483,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8510560&datum=MLLW&show=1-1-0-1-1,-71.9632,41.0498,0.0028258,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8510560.png,-71.96,41.0483,7.4,6.39,5.1,3.86,4.5,5.3,7,1.947,1.177,2.53,2,2.8,4.5
ZZZZZ,8516990,Willets-Point-NY,NY,-73.7816,40.7933,6.05E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8516990&datum=MLLW&show=1-1-0-1-1,,,,,-73.7817,40.7933,25,12.78,8.87,5, , , , , , , , , 
BATN6,8518750,The-Battery-NY,NY,-74.015,40.7,0.0012636,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8518750&datum=MLLW&show=1-1-0-1-1,-74.0146,40.6996,0.0010233,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8518750.png,-74.0133,40.7,9.64,8.34,5.86,3.29,7.2,8.5,10,2.543,1.002,5.06,2.1,3.4,4.9
ZZZZZ,8514560,Port-Jefferson-NY,NY,-73.0766,40.95,5.04E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8514560&datum=MLLW&show=1-1-0-1-1,,,,,-73.0767,40.95,12.18,10.72,7.09,3.55, , , , , , , , , 
KPTN6,8516945,Kings-Point-NY,NY,-73.7816,40.81,0.012564,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8516945&datum=MLLW&show=1-1-0-1-1,-73.7678,40.8099,0.0021012,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8516945.png,-73.765,40.81,22.54,20.69,16.77,12.89,10,10.5,13,6.306,3.928,7.8,2.2,2.7,5.2
FRPN6,8516411,Hudson-Bay-at-Freeport-NY,NY,-73.5758,40.6275,0.010102,,,,,,-73.5867,40.6333, ,3.48,1.16,-1.01, , , , , , , , , 
LNDN6,ZZZZZZ0,Great-South-Bay-at-Lindenhurst-NY,NY,-73.356,40.6693,,,,,,,,, ,1.99,1.23,0.49, , , , , , , , , 
REYN6,8516402,Reynolds-Channel-at-Point-Lookout-NY,NY,-73.5841,40.5933,0.00058312,,,,,,-73.5833,40.5933, ,3.66,1.09,-1.3524, , , , , , , , , 
RKWN6,8516881,East-Rockaway-Inlet-at-Atlantic-Beach-NY,NY,-73.7377,40.593,0.0047221,,,,,,-73.7433,40.595, ,3.57,1,-1.422, , , , , , , , , 
IWDN6,8516925,Jamaica-Bay-at-Inwood-NY,NY,-73.7583,40.6172,0.00053393,,,,,,-73.7583,40.6167, ,3.87,0.87,-2.03, , , , , , , , , 
RWYN6,8517394,Rockaway-Inlet-near-Floyd-Bennet-Field-NY,NY,-73.8856,40.5735,0.0052603,,,,,,-73.8883,40.5783, ,3.74,0.87,-1.85, , , , , , , , , 
WESN6,8516614,West-Pond-at-Glen-Cove-NY,NY,-73.638,40.8886,0.028348,,,,,,-73.655,40.8633, ,4.82,0.82,-3.07, , , , , , , , , 
PMTN6,8518919,Hudson-River-at-Piermont-NY,NY,-73.8965,41.0432,0.040418,,,,,,-73.87,41.0783, ,3.07,1.1,-0.9, , , , , , , , , 
ORIN6,8511671,Orient-Harbor-at-Orient-NY,NY,-72.3066,41.1363,0.00037009,,,,,,-72.3067,41.1367, ,2.13,0.7,-0.72, , , , , , , , , 
PECN6,ZZZZZZ0,Peconic-River-at-Riverhead-NY,NY,-72.6387,40.9178,,,,,,,,, ,2.17,0.5,-1.16, , , , , , , , , 
FLXN6,8514594,Flax-Pond-at-Old-Field-NY,NY,-73.143,40.962,0.039948,,,,,,-73.0917,40.9717, ,4.56,0.87,-2.69, , , , , , , , , 
PRIN6,8512735,S-Jamesport-NY,NY,-72.6386,40.9178,0.046327,,,,,,-72.5817,40.935,5.3,4.69,2.98,1.38, , , , , , , , , 
MOBN6,8513388,Moriches-MorichesBay-NY,NY,-72.75,40.7867,3.33E-05,,,,,,-72.75,40.7867,4.67,4.24,2.94,1.74, , , , , , , , , 
FIRN6,8514322,Patchogue-River-NY,NY,-72.9897,40.6913,0.059217,,,,,,-73,40.75, ,1.77,1.03,0.36, , , , , , , , , 
INDN6,8515421,Babylon-NY,NY,-73.3561,40.6691,0.034991,,,,,,-73.315,40.685, ,1.87,1.11,0.38, , , , , , , , , 
TPBN4,8538886,Tacony-palmyra-Bridge-NJ,NJ,-75.0417,40.0117,0.0012514,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8538886&datum=MLLW&show=1-1-0-1-1,-75.043,40.0119,0.00034587,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8538886.png,-75.0433,40.0117,25.77,24.52,21.01,17.37, , , , , , , , , 
SJSN4,8537121,Ship-John-Shoal-NJ,NJ,-75.375,39.305,0,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8537121&datum=MLLW&show=1-1-0-1-1,-75.375,39.305,0,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8537121.png,-75.375,39.305,26.2,24.62,21.45,18.39,,,,7.494,5.6,6.21,,,
CMAN4,8536110,Cape-May-NJ,NJ,-74.96,38.9683,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8536110&datum=MLLW&show=1-1-0-1-1,-74.9702,38.9689,0.0079133,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8536110.png,-74.96,38.9683,9.13,7.87,4.99,2.42,6.7,7.7,8.7,2.398,0.738,5.45,1.3,2.3,3.3
SDHN4,8531680,Sandy-Hook-NJ,NJ,-74.01,40.4666,6.67E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8531680&datum=MLLW&show=1-1-0-1-1,-74.0097,40.4665,0.0002713,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8531680.png,-74.01,40.4667,9.11,7.74,5.09,2.51,6.7,7.7,8.7,2.359,0.766,5.22,1.5,2.5,3.5
BDRN4,8539094,Burlington-NJ,NJ,-74.8683,40.0817,0.0042097,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8539094&datum=MLLW&show=1-1-0-1-1,-74.8697,40.0817,0.0032586,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8539094.png,-74.8733,40.08,26.3,24.69,20.83,16.83,9.3,10.3,11.3,7.531,5.14,7.84,1.5,2.5,3.5
ACYN4,8534720,Atlantic-City-NJ,NJ,-74.4183,39.355,0.0016669,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8534720&datum=MLLW&show=1-1-0-1-1,-74.418,39.3546,0.0020493,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8534720.png,-74.4183,39.3567,10.79,9.56,7.17,4.96,6,7,8,2.914,1.511,4.6,1.4,2.4,3.4
ALCN4,8534836,Atlantic-City-NJ,NJ,-74.4569,39.3533,0.074272,,,,,,-74.5333,39.3083, ,6.38,4.09,2.05, , , , , , , , , 
ASCN4,8534540,Absecon-NJ,NJ,-74.4994,39.4228,0.00070236,,,,,,-74.5,39.4233, ,6.58,4.28,2.19, , , , , , , , , 
ATLN4,8534638,ATLANTIC-CITY-MARINA-NJ,NJ,-74.4239,39.3775,0.0075489,,,,,,-74.425,39.385, , , , , , , , , , , , , 
AVLN4,8535419,Avalon-NJ,NJ,-74.7342,39.1108,0.0033354,,,,,,-74.7383,39.11, ,8.79,6.37,4.18, , , , , , , , , 
BGLN4,8533615,Barnegat-Light-NJ,NJ,-74.1081,39.7611,0.0028278,,,,,,-74.1117,39.7617,6.85,6.01,4.7,3.5, , , , , , , , , 
BLMN4,8532337,Belmar-NJ,NJ,-74.0222,40.1822,0.010967,,,,,,-74.0083,40.185, , , , , , , , , , , , , 
BSRN4,ZZZZZZ0,Seaside-Heights-NJ,NJ,-74.0822,39.9383,,,,,,,,, , , , , , , , , , , , , 
BVVN4,8536889,Bivalve-NJ,NJ,-75.0331,39.2317,0.0032548,,,,,,-75.0367,39.23, , , , , , , , , , , , , 
CAPN4,8535901,CAPE-MAY-HARBOR-NJ,NJ,-74.8903,38.9486,0.0011134,,,,,,-74.8917,38.9483, , , , , , , , , , , , , 
GRWN4,8537374,Greenwich-NJ,NJ,-75.35,39.3833,3.33E-05,,,,,,-75.35,39.3833, , , , , , , , , , , , , 
KSBN4,8531592,KEANSBURG-NJ,NJ,-74.1475,40.4486,0.0031828,,,,,,-74.1433,40.4483, , , , , , , , , , , , , 
MSNN4,8632591,Manasquan-NJ,NJ,-74.0447,40.1117,,,,,,,,, , , , , , , , , , , , , 
MTLN4,8532786,Mantaloking-NJ,NJ,-74.0522,40.04,0.0034406,,,,,,-74.0533,40.0367, , , , , , , , , , , , , 
NWKN4,8530743,Newark-NJ,NJ,-74.1231,40.7131,0.019227,,,,,,-74.1167,40.7317, ,6.55,3.63,0.81, , , , , , , , , 
ONCN4,8534975,Ocean-City-NJ,NJ,-74.6278,39.2536,0.034726,,,,,,-74.6283,39.2883, , , , , , , , , , , , , 
SABN4,ZZZZZZ0,South-Amboy-NJ,NJ,-74.2814,40.4922,,,,,,,,, , , , , , , , , , , , , 
SBIN4,8531804,Sea-Bright-NJ,NJ,-73.9747,40.3656,0.00059926,,,,,,-73.975,40.365, ,6.43,4.4,2.51, , , , , , , , , 
SBTN4,8533935,Ship-Bottom-NJ,NJ,-74.185,39.6536,0.00027667,,,,,,-74.185,39.6533, , , , , , , , , , , , , 
SDNN4,ZZZZZZ0,S-Dennis-NJ,NJ,-74.8322,39.1617,,,,,,,,, , , , , , , , , , , , , 
SHBN4,8535581,Stone-Harbor-NJ,NJ,-74.7658,39.0569,0.00070008,,,,,,-74.765,39.0567, , , , , , , , , , , , , 
SICN4,8535221,Sea-Isle-City-NJ,NJ,-74.6978,39.1575,0.02138,,,,,,-74.71,39.1767, , , , , , , , , , , , , 
TKTN4,8534319,Tuckerton-NJ,NJ,-74.325,39.5089,0.00055667,,,,,,-74.325,39.5083,2.24,1.5,-0.26,-1.83, , , , , , , , , 
WATN4,8533541,Waretown-NJ,NJ,-74.1819,39.7911,0.00059497,,,,,,-74.1817,39.7917, , , , , , , , , , , , , 
BASN4,8533055,Coates-Point-NJ,NJ,-74.115,39.9483,3.33E-05,,,,,,-74.115,39.9483, , , , , , , , , , , , , 
MGTN4,8534836,Longport-Risely-Channel-NJ,NJ,-74.5333,39.3083,4.21E-05,,,,,,-74.5333,39.3083, ,6.38,4.09,2.05, , , , , , , , , 
PABN4,8531232,S-Amboy-Raritan-River-NJ,NJ,-74.2817,40.1917,0.29997,,,,,,-74.2817,40.4917, , , , , , , , , , , , , 
ABSN4,8534540,Absecon-Creek-NJ,NJ,-74.5,39.4233,3.33E-05,,,,,,-74.5,39.4233, ,6.58,4.28,2.19, , , , , , , , , 
MRCP1,8540433,Marcus-Hook-PA,PA,-75.41,39.8117,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8540433&datum=MLLW&show=1-1-0-1-1,-75.41,39.8117,3.33E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8540433.png,-75.41,39.8117,29.25,27.74,24.73,21.6,,,,8.456,6.585,6.14,,,
PHBP1,8545240,Philadelphia-PA,PA,-75.1416,39.9333,0.0033004,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8545240&datum=MLLW&show=1-1-0-1-1,-75.1399,39.9312,0.0017993,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8545240.png,-75.1417,39.93,11.75,10.51,7.31,3.82,8.2,9.2,10.2,3.204,1.165,6.69,1.5,2.5,3.5
BDSP1,8546252,Bridesburg-PA,PA,-75.075,39.9833,3.33E-06,,,,,,-75.075,39.9833,27.95,26.47,23.09,19.5,,,,8.106,5.974,6.99,,,
NBLP1,8548989,Newbold-PA,PA,-74.7517,40.1367,4.20E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8548989&datum=MLLW&show=1-1-0-1-1,-74.7516,40.136,0.00062816,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8548989.png,-74.7517,40.1367,23.74,22.71,18.65,14.32,10.2,11.2,12.2,6.93,4.381,8.36,1.8,2.8,3.8
LWSD1,8557380,Lewes-DE,DE,-75.12,38.7816,0.0021662,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8557380&datum=MLLW&show=1-1-0-1-1,-75.1201,38.7856,0.002666,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8557380.png,-75.1183,38.7833,8.6,7.44,5.01,2.78,6,7,8,2.266,0.848,4.65,1.3,2.3,3.3
DELD1,8551762,Delaware-City-DE,DE,-75.5883,39.5817,4.21E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8551762&datum=MLLW&show=1-1-0-1-1,-75.5883,39.5817,4.21E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8551762.png,-75.5883,39.5817,29,28.4,25.35,22.4,7.5,8.5,9.5,8.657,6.826,6.01,1.5,2.5,3.5
RDYD1,8551910,Reedy-Point-DE,DE,-75.5733,39.5583,4.21E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8551910&datum=MLLW&show=1-1-0-1-1,-75.5733,39.5587,0.00036757,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8551910.png,-75.5733,39.5583,8.18,7.19,4.27,1.35,7.2,8.2,9.2,2.191,0.411,5.84,1.4,2.4,3.4
BRND1,8555889,Brandywine-Shoal-Light-DE,DE,-75.1133,38.9867,4.22E-06,,,,,,-75.1133,38.9867,25.97,24.48,21.6,18.99, , , , , , , , , 
BOWD1,8555388,Murderkill-River-ENTR-DE,DE,-75.3967,39.0583,4.22E-05,,,,,,-75.3967,39.0583, , , , , , , , , , , , , 
SLIM2,8577330,Solomons-Island-MD,MD,-76.4516,38.3166,0.0012571,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8577330&datum=MLLW&show=1-1-0-1-1,-76.4517,38.3167,0.0013342,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8577330.png,-76.45,38.3167,5.58,5.2,4.48,3.72,2.8,4,5,1.584,1.135,1.47,1.3,2.5,3.5
CAMM2,8571892,Cambridge-MD,MD,-76.0683,38.5733,0.0031333,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8571892&datum=MLLW&show=1-1-0-1-1,-76.0683,38.5758,0.0027344,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8571892.png,-76.0717,38.575,4.97,4.5,3.48,2.46,3.5,4,4.5,1.372,0.75,2.04,1.5,2,2.5
CHCM2,8573927,Chesapeake-City-MD,MD,-75.81,39.5266,6.67E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8573927&datum=MLLW&show=1-1-0-1-1,-75.81,39.5277,0.0010333,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8573927.png,-75.81,39.5267,7,6.35,4.7,3.14,5.5,6.5,7.5,1.936,0.957,3.21,2.3,3.3,4.3
OCIM2,8570283,Ocean-City-Inlet-MD,MD,-75.0917,38.3283,4.24E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8570283&datum=MLLW&show=1-1-0-1-1,-75.0917,38.3283,4.24E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8570283.png,-75.0917,38.3283,11.31,10.5,9.31,8.03,4,5,6,3.2,2.449,2.46,1.5,2.5,3.5
BLTM2,8574680,Baltimore-MD,MD,-76.5783,39.2666,0.0013178,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8574680&datum=MLLW&show=1-1-0-1-1,-76.5774,39.2668,0.0020156,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8574680.png,-76.58,39.2667,6.38,5.76,4.91,4.1,3,5,6,1.757,1.251,1.66,1.3,3.3,4.3
